latitude,longitude
31.97,-112.66
31.97,-112.62
31.97,-112.58
31.97,-112.54
31.97,-112.5
31.97,-112.46
31.97,-112.42
31.97,-112.38
31.97,-112.34
31.97,-112.3
31.97,-112.26
31.97,-112.22
31.97,-112.18
31.97,-112.14
31.97,-112.1
31.97,-112.06
31.97,-112.02
31.97,-111.98
31.97,-111.94
31.97,-111.9
31.97,-111.86
31.97,-111.82
31.97,-111.78
31.97,-111.74
31.97,-111.7
31.97,-111.66
31.97,-111.62
31.97,-111.58
31.97,-111.54
31.97,-111.5
31.97,-111.46
31.97,-111.42
31.97,-111.38
31.97,-111.34
31.97,-111.3
31.97,-111.26
31.97,-111.22
31.97,-111.18
31.97,-111.14
31.97,-111.1
31.97,-111.06
31.97,-111.02
31.97,-110.98
31.97,-110.94
31.97,-110.9
31.97,-110.86
31.97,-110.82
31.97,-110.78
31.97,-110.74
31.97,-110.7
31.97,-110.66
31.97,-110.62
31.97,-110.58
31.97,-110.54
31.97,-110.5
31.97,-110.46
31.97,-110.42
31.97,-110.38
31.97,-110.34
31.97,-110.3
31.97,-110.26
31.97,-110.22
31.97,-110.18
31.97,-110.14
31.97,-110.1
31.97,-110.06
31.97,-110.02
31.97,-109.98
31.97,-109.94
31.97,-109.9
31.97,-109.86
31.97,-109.82
31.97,-109.78
31.97,-109.74
31.97,-109.7
31.97,-109.66
31.97,-109.62
31.97,-109.58
31.97,-109.54
31.97,-109.5
31.97,-109.46
31.97,-109.42
31.97,-109.38
31.97,-109.34
31.97,-109.3
31.97,-109.26
31.97,-109.22
31.97,-109.18
31.97,-109.14
31.97,-109.1
31.97,-109.06
32.01,-113.22
32.01,-113.18
32.01,-113.14
32.01,-113.1
32.01,-113.06
32.01,-113.02
32.01,-112.98
32.01,-112.94
32.01,-112.9
32.01,-112.86
32.01,-112.82
32.01,-112.78
32.01,-112.74
32.01,-112.7
32.01,-112.66
32.01,-112.62
32.01,-112.58
32.01,-112.54
32.01,-112.5
32.01,-112.46
32.01,-112.42
32.01,-112.38
32.01,-112.34
32.01,-112.3
32.01,-112.26
32.01,-112.22
32.01,-112.18
32.01,-112.14
32.01,-112.1
32.01,-112.06
32.01,-112.02
32.01,-111.98
32.01,-111.94
32.01,-111.9
32.01,-111.86
32.01,-111.82
32.01,-111.78
32.01,-111.74
32.01,-111.7
32.01,-111.66
32.01,-111.62
32.01,-111.58
32.01,-111.54
32.01,-111.5
32.01,-111.46
32.01,-111.42
32.01,-111.38
32.01,-111.34
32.01,-111.3
32.01,-111.26
32.01,-111.22
32.01,-111.18
32.01,-111.14
32.01,-111.1
32.01,-111.06
32.01,-111.02
32.01,-110.98
32.01,-110.94
32.01,-110.9
32.01,-110.86
32.01,-110.82
32.01,-110.78
32.01,-110.74
32.01,-110.7
32.01,-110.66
32.01,-110.62
32.01,-110.58
32.01,-110.54
32.01,-110.5
32.01,-110.46
32.01,-110.42
32.01,-110.38
32.01,-110.34
32.01,-110.3
32.01,-110.26
32.01,-110.22
32.01,-110.18
32.01,-110.14
32.01,-110.1
32.01,-110.06
32.01,-110.02
32.01,-109.98
32.01,-109.94
32.01,-109.9
32.01,-109.86
32.01,-109.82
32.01,-109.78
32.01,-109.74
32.01,-109.7
32.01,-109.66
32.01,-109.62
32.01,-109.58
32.01,-109.54
32.01,-109.5
32.01,-109.46
32.01,-109.42
32.01,-109.38
32.01,-109.34
32.01,-109.3
32.01,-109.26
32.01,-109.22
32.01,-109.18
32.01,-109.14
32.01,-109.1
32.01,-109.06
32.05,-113.34
32.05,-113.3
32.05,-113.26
32.05,-113.22
32.05,-113.18
32.05,-113.14
32.05,-113.1
32.05,-113.06
32.05,-113.02
32.05,-112.98
32.05,-112.94
32.05,-112.9
32.05,-112.86
32.05,-112.82
32.05,-112.78
32.05,-112.74
32.05,-112.7
32.05,-112.66
32.05,-112.62
32.05,-112.58
32.05,-112.54
32.05,-112.5
32.05,-112.46
32.05,-112.42
32.05,-112.38
32.05,-112.34
32.05,-112.3
32.05,-112.26
32.05,-112.22
32.05,-112.18
32.05,-112.14
32.05,-112.1
32.05,-112.06
32.05,-112.02
32.05,-111.98
32.05,-111.94
32.05,-111.9
32.05,-111.86
32.05,-111.82
32.05,-111.78
32.05,-111.74
32.05,-111.7
32.05,-111.66
32.05,-111.62
32.05,-111.58
32.05,-111.54
32.05,-111.5
32.05,-111.46
32.05,-111.42
32.05,-111.38
32.05,-111.34
32.05,-111.3
32.05,-111.26
32.05,-111.22
32.05,-111.18
32.05,-111.14
32.05,-111.1
32.05,-111.06
32.05,-111.02
32.05,-110.98
32.05,-110.94
32.05,-110.9
32.05,-110.86
32.05,-110.82
32.05,-110.78
32.05,-110.74
32.05,-110.7
32.05,-110.66
32.05,-110.62
32.05,-110.58
32.05,-110.54
32.05,-110.5
32.05,-110.46
32.05,-110.42
32.05,-110.38
32.05,-110.34
32.05,-110.3
32.05,-110.26
32.05,-110.22
32.05,-110.18
32.05,-110.14
32.05,-110.1
32.05,-110.06
32.05,-110.02
32.05,-109.98
32.05,-109.94
32.05,-109.9
32.05,-109.86
32.05,-109.82
32.05,-109.78
32.05,-109.74
32.05,-109.7
32.05,-109.66
32.05,-109.62
32.05,-109.58
32.05,-109.54
32.05,-109.5
32.05,-109.46
32.05,-109.42
32.05,-109.38
32.05,-109.34
32.05,-109.3
32.05,-109.26
32.05,-109.22
32.05,-109.18
32.05,-109.14
32.05,-109.1
32.05,-109.06
32.09,-113.5
32.09,-113.46
32.09,-113.42
32.09,-113.38
32.09,-113.34
32.09,-113.3
32.09,-113.26
32.09,-113.22
32.09,-113.18
32.09,-113.14
32.09,-113.1
32.09,-113.06
32.09,-113.02
32.09,-112.98
32.09,-112.94
32.09,-112.9
32.09,-112.86
32.09,-112.82
32.09,-112.78
32.09,-112.74
32.09,-112.7
32.09,-112.66
32.09,-112.62
32.09,-112.58
32.09,-112.54
32.09,-112.5
32.09,-112.46
32.09,-112.42
32.09,-112.38
32.09,-112.34
32.09,-112.3
32.09,-112.26
32.09,-112.22
32.09,-112.18
32.09,-112.14
32.09,-112.1
32.09,-112.06
32.09,-112.02
32.09,-111.98
32.09,-111.94
32.09,-111.9
