latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
36.85,-112.54,1411.64,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,224.85633561643832,299.9808789954338,53.17003424657534,124.73915525114155,24.18538812785388,844.7680936073059,354.5534699999999
36.85,-112.5,1464.65,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,225.42397260273972,301.5868721461187,53.024029680365295,121.65833333333332,24.18966894977169,839.9475456621004,355.44852
36.85,-112.46,1547.76,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,225.79206621004568,302.74526255707764,53.04269406392694,116.06518264840184,24.17585616438356,831.0403538812785,356.02893
36.85,-112.42,1585.28,-7,b'United States',b'Arizona',b'Coconino',b'None',0,120,226.0224315068493,303.20028538812784,53.36033105022831,113.84286529680364,24.12431506849315,827.2760273972602,356.3921699999999
36.85,-112.38,1644.64,-7,b'United States',b'Arizona',b'Coconino',b'None',0,120,225.81529680365296,302.7580479452055,53.80285388127854,109.59577625570776,24.074714611872142,820.3728881278539,356.06556
36.85,-112.34,1710.56,-7,b'United States',b'Arizona',b'Coconino',b'None',0,120,226.41141552511417,304.3970890410959,54.03504566210046,109.99503424657534,24.120776255707764,821.1754566210045,357.00551999999993
36.85,-112.3,1744.45,-7,b'United States',b'Arizona',b'Coconino',b'None',3,120,225.3,301.12545662100456,55.45918949771689,104.53533105022832,23.908333333333335,811.9478310502283,355.25304
36.85,-112.26,1813.28,-7,b'United States',b'Arizona',b'Coconino',b'None',0,120,224.91752283105023,301.4746575342466,55.88304794520547,103.3679794520548,23.93972602739726,810.2373858447488,354.64995
36.85,-112.22,1948.2,-7,b'United States',b'Arizona',b'Coconino',b'None',0,70,224.27357305936073,301.25365296803653,56.44480593607306,90.3134703196347,23.757705479452056,789.9026826484019,353.63457
36.85,-112.18,2071.8,-7,b'United States',b'Arizona',b'Coconino',b'None',0,70,223.90102739726024,301.62608447488583,57.14549086757991,86.34651826484018,23.706221461187216,783.835901826484,353.04713999999996
36.85,-112.14,2065.16,-7,b'United States',b'Arizona',b'Coconino',b'None',0,70,223.44400684931503,301.3244292237443,57.36740867579908,87.83875570776256,23.550342465753424,785.7589611872146,352.3265099999999
36.85,-112.1,2108.85,-7,b'United States',b'Arizona',b'Coconino',b'None',0,70,224.48367579908677,303.935502283105,56.651769406392695,91.41729452054794,23.52522831050228,790.9965182648402,353.96585999999996
36.85,-112.06,1911.08,-7,b'United States',b'Arizona',b'Coconino',b'None',0,30,224.46615296803657,304.1361872146119,55.63961187214612,99.81375570776255,23.59400684931507,803.8682648401826,353.93823000000003
36.85,-112.02,1835.36,-7,b'United States',b'Arizona',b'Coconino',b'None',0,30,224.7869292237443,305.7443493150685,55.14320776255707,105.2175799086758,23.625913242009133,812.1587899543379,354.44403
36.85,-111.98,1898.4,-7,b'United States',b'Arizona',b'Coconino',b'None',0,30,226.1609589041096,309.26866438356166,54.15827625570776,102.64680365296805,23.637043378995433,808.2083904109589,356.61060000000003
